# # frequency [invcm]  IR intensity [a.u.]
0.000000000000000000e+00  3.096934099999999717e+02
6.951569199999999782e+00  3.126426399999999717e+02
1.390313800000000022e+01  3.210757800000000088e+02
2.085470799999999869e+01  3.338616900000000101e+02
2.780627700000000146e+01  3.494522699999999986e+02
3.475784600000000069e+01  3.662703799999999887e+02
4.170941499999999991e+01  3.830625400000000127e+02
4.866098399999999913e+01  3.991129099999999994e+02
5.561255299999999835e+01  4.142719399999999723e+02
6.256412300000000215e+01  4.288221300000000156e+02
6.951569200000000137e+01  4.432592000000000212e+02
7.646726099999999349e+01  4.580863899999999944e+02
8.341882999999999981e+01  4.736982899999999859e+02
9.037039900000000614e+01  4.903781599999999798e+02
9.732196799999999826e+01  5.083753199999999879e+02
1.042735399999999970e+02  5.279910300000000234e+02
1.112251100000000008e+02  5.496018299999999499e+02
1.181766800000000046e+02  5.735862300000000005e+02
1.251282499999999942e+02  6.001779099999999971e+02
1.320798100000000090e+02  6.293166199999999435e+02
1.390313800000000128e+02  6.605836699999999837e+02
1.459829499999999882e+02  6.932797900000000482e+02
1.529345199999999920e+02  7.266414700000000266e+02
1.598860899999999958e+02  7.601236400000000231e+02
1.668376599999999996e+02  7.936344699999999648e+02
1.737892300000000034e+02  8.276146599999999580e+02
1.807408000000000072e+02  8.629094999999999800e+02
1.876923700000000110e+02  9.004658200000000079e+02
1.946439399999999864e+02  9.409614800000000514e+02
2.015955099999999902e+02  9.845081199999999626e+02
2.085470799999999940e+02  1.030542799999999943e+03
2.154986399999999946e+02  1.077949599999999919e+03
2.224502099999999984e+02  1.125363200000000006e+03
2.294017800000000022e+02  1.171535200000000032e+03
2.363533500000000060e+02  1.215634399999999914e+03
2.433049200000000098e+02  1.257387600000000020e+03
2.502564900000000137e+02  1.297049700000000030e+03
2.572080599999999890e+02  1.335265699999999924e+03
2.641596299999999928e+02  1.372921700000000101e+03
2.711111999999999966e+02  1.411067600000000084e+03
2.780627700000000004e+02  1.450931299999999965e+03
2.850143400000000042e+02  1.493973600000000033e+03
2.919659100000000080e+02  1.541890699999999924e+03
2.989174699999999802e+02  1.596482299999999896e+03
3.058690399999999840e+02  1.659364499999999907e+03
3.128206099999999878e+02  1.731591499999999996e+03
3.197721799999999917e+02  1.813314100000000053e+03
3.267237499999999955e+02  1.903616800000000012e+03
3.336753199999999993e+02  2.000624600000000100e+03
3.406268900000000031e+02  2.101876200000000154e+03
3.475784600000000069e+02  2.204863199999999779e+03
3.545300300000000107e+02  2.307575499999999920e+03
3.614816000000000145e+02  2.408890199999999822e+03
3.684331700000000183e+02  2.508702000000000226e+03
3.753847400000000221e+02  2.607780799999999999e+03
3.823362999999999943e+02  2.707423699999999826e+03
3.892878699999999981e+02  2.809020700000000033e+03
